Consumer Confidence Index,cpi,"Interest Rates, Government Securities, Bonds",M3 for India,Global WTI crude price,"Recesssion Yes=1, No=0"
102.0425,36.7320,7.7663,11884375314169.40,31.2187,0
102.0805,36.8150,7.7735,12050130648168.80,33.8600,0
102.1472,37.2295,7.7732,12244842455483.90,33.0750,0
102.0758,37.3125,7.7718,12565739605462.70,34.5550,0
101.8647,36.9808,7.7670,12805273484735.90,28.3881,0
101.5315,36.8979,7.7649,12859647045157.30,29.4822,0
101.1796,36.7320,7.7647,12996734312498.00,29.5835,0
100.898,36.8979,7.7653,13153322499695.90,27.2414,0
100.7078,37.1466,7.7669,13337047259930.60,27.4538,0
100.5838,37.3954,7.7691,13568015955078.90,28.6104,0
100.399,37.8929,7.7733,13733304242246.20,27.6010,0
100.3087,38.3904,7.7754,13870672418057.10,26.4359,0
100.2557,38.6391,7.7799,14006906272913.40,27.4678,0
100.2489,38.5562,7.7836,14117356902288.80,26.2110,0
100.2709,38.8050,7.7872,14230938082949.60,22.2104,0
100.4883,39.1366,7.7889,14441344055481.00,19.5841,0
100.8672,38.8879,7.7927,14598007366851.70,19.3176,0
101.2167,38.7220,7.7950,14695061787171.60,19.6074,0
101.2437,38.6391,7.7932,14841183736724.50,20.7755,0
101.0707,38.8050,7.7890,14996558254575.00,24.5081,0
100.7464,38.8879,7.7854,15215097144420.40,26.2664,0
100.4184,39.1366,7.7841,15902782703289.40,27.0039,0
100.0938,39.4683,7.7836,15968864934103.20,25.5210,0
99.8227,39.8829,7.7831,16136207347446.90,26.9300,0
99.6031,40.1316,7.7818,16324742842296.20,28.3814,0
99.46434,40.2145,7.7768,16459600363847.50,29.6329,0
99.44079,40.3804,7.7694,16622661832869.30,28.8539,0
99.40691,40.5462,7.7586,16810987804302.60,26.3248,0
99.21656,40.1316,7.7477,16933314450596.50,29.5486,0
98.86694,40.0487,7.7381,17075952581380.00,32.9117,0
98.63111,40.1316,7.7275,17175408776159.40,35.9150,0
98.56903,40.3804,7.7178,17163520801788.40,33.2190,0
98.63313,40.8779,7.7084,17443291247447.60,28.3577,0
98.73048,40.9608,7.6994,17686357747246.50,28.2236,0
98.71645,41.2095,7.6892,17903837161509.40,30.7248,0
98.7168,41.5412,7.6769,18073442017583.60,30.7474,0
98.88132,41.3754,7.6653,18201439838216.80,31.5919,0
99.05099,41.3754,7.6548,18370431493433.70,28.4514,0
99.15733,41.7070,7.6432,18693747838572.40,30.3309,0
99.2841,41.7900,7.6291,18854210953043.50,30.9625,0
99.40196,41.6241,7.6160,19108940937707.20,32.2043,0
99.47299,41.7900,7.6015,19391112613334.60,34.1464,0
99.66543,41.7900,7.5825,19695782499388.60,34.7220,0
99.68978,41.7900,7.5595,19990387356169.20,36.7609,0
99.64754,41.7900,7.5400,20256707582439.80,36.7191,0
99.64529,42.1216,7.5218,20391326815500.50,40.2729,0
99.67786,42.4533,7.5136,20527192171001.30,38.0414,0
99.78973,42.8679,7.5081,20642975322920.20,40.6850,0
99.78208,43.2825,7.5151,20842384588142.00,44.9359,0
99.65051,43.3654,7.5136,20930554910543.00,45.8609,0
99.44796,43.6141,7.5138,21191706872737.60,53.1671,0
99.28623,43.5312,7.5083,21331365494671.90,48.5323,0
99.22041,43.1995,7.5082,21639380205478.40,43.2791,0
99.33824,43.6141,6.7000,22255464625038.60,46.9919,0
99.52237,43.5312,6.5500,22240274429127.10,47.9905,0
99.62164,43.5312,6.6800,22327260333995.40,54.0930,0
99.65741,43.8629,7.2300,22938537913141.00,53.0367,0
99.5074,43.6970,6.9800,23119425516523.40,49.9223,0
99.39045,43.8629,6.8900,23385430669807.30,56.3055,0
99.35138,44.6091,6.9700,23613742049543.80,58.7057,0
99.24782,44.7749,7.0900,23872931278087.10,64.9683,0
99.29536,44.9408,7.1100,24704715914416.20,65.6577,0
99.53488,45.4383,7.1000,24788172079254.70,62.3705,0
99.8284,45.8529,7.0800,25059417179033.30,58.3114,0
100.0678,45.6041,7.1100,25417947389353.60,59.3664,0
100.2428,45.5212,7.2800,25433711652434.10,65.2327,0
100.4039,45.5212,7.3600,25755813742167.40,61.5440,0
100.5891,45.5212,7.5200,26988208203017.30,62.8996,0
100.7342,45.9037,7.4000,27196423994830.10,69.6735,0
100.8354,46.2863,7.6800,27493399523487.10,70.9591,0
100.9774,47.0513,8.1200,27691506988957.90,70.9577,0
101.0591,47.4339,8.2300,28302230800423.90,74.3614,0
101.1279,47.4339,7.9000,28889997890737.60,73.0487,0
101.212,47.8164,7.6700,29405013893710.60,64.1190,0
101.2516,48.5814,7.6700,29471092575451.80,58.8782,0
101.3034,48.5814,7.4200,30028306911401.70,59.2891,0
101.4438,48.5814,7.6100,30407121340196.00,62.0286,0
101.5429,48.5814,7.7600,30898773877976.40,54.7800,0
101.5587,48.9640,7.9800,31454609341200.20,59.2695,0
101.553,48.5814,7.9700,32801614259855.40,60.5641,0
101.6037,48.9640,8.1700,32572571800108.80,63.9748,0
101.6369,49.3465,8.1200,32958978434890.80,63.5135,0
101.6651,49.7290,8.2000,33792265889510.50,67.4786,0
101.5664,50.4941,7.9000,34565617945037.30,74.0464,0
101.3021,50.8766,7.9400,34923494192543.40,72.3922,0
100.885,50.8766,7.9300,35847238114963.20,79.6330,0
100.6727,51.2592,7.8900,36278316454959.20,85.9265,0
100.5414,51.2592,7.9600,37058460488424.70,94.7664,0
100.3872,51.2592,7.8200,37501817939986.80,91.7748,1
100.1993,51.2592,7.5700,38291142220211.90,92.9826,1
100.0269,51.6417,7.6000,38884940485486.70,95.3614,1
99.89143,52.4068,7.9300,39797695353738.10,105.5038,1
99.65626,52.7893,8.0100,39806955680120.10,112.3364,1
99.40733,53.1718,8.1700,40623726064412.70,125.6714,1
99.13911,53.5544,8.6900,41082401290248.80,133.9281,1
98.87341,54.7019,9.3200,41427941081901.00,133.9583,1
98.94191,55.4670,8.7800,42370431700859.00,116.6971,1
99.06628,55.8495,8.6300,42891398571848.80,104.4436,1
99.056,56.6146,7.4500,43715847493357.10,76.2839,1
99.01659,56.6146,6.9900,44187812406801.00,56.9680,1
98.96945,56.2321,5.0000,44957651478156.80,40.6443,1
98.92022,56.6146,6.2400,46017277039870.70,41.6309,1
98.87695,56.6146,6.0200,46722529834265.00,39.0785,1
98.89939,56.6146,7.0100,47511973199334.70,47.9800,1
99.17114,57.3797,6.2300,48361916584213.20,49.9059,1
99.50005,57.7622,6.7000,49098973152544.00,59.2571,1
99.68268,58.5273,7.0100,49609022328059.40,69.6723,1
99.84057,61.2050,7.1500,50344230451790.80,64.2087,0
100.0641,61.9700,7.4300,50781832271646.80,71.0643,0
100.2256,62.3526,7.1700,51383575725709.20,69.3977,0
100.3344,63.1176,7.3100,51960533532977.50,75.8236,0
100.5631,64.2652,7.5200,52660403283105.40,77.9724,0
100.763,64.6478,7.5900,52991658117505.70,74.6257,0
100.8281,65.7953,7.5900,53982229067332.20,78.4186,0
100.6689,65.0303,7.8800,54696047015300.40,76.3080,0
100.3927,65.0303,7.8200,55591635737915.10,81.2422,0
100.0584,65.0303,8.0500,55737257187882.30,84.4977,0
99.9381,65.7953,7.5300,56542941734571.40,73.8424,0
99.95467,66.5604,7.5500,57114278536229.30,75.3491,0
100.0337,68.0905,7.8444,58200567161085.70,76.1773,0
100.1447,68.0905,7.9205,58689960108555.00,76.6182,0
100.164,68.4731,7.8700,59313342766141.10,75.2736,0
100.1833,69.2381,8.0836,60948055386212.80,81.9024,0
100.1869,69.6207,8.0612,61269948703242.90,84.1486,0
100.191,70.7682,7.9410,62761968314193.50,89.3670,0
100.3705,71.9158,8.1336,62888158974143.90,89.5238,0
100.4766,70.7682,8.0150,63861810998824.10,89.4140,0
100.4377,70.7682,8.0141,64654238499047.50,102.9357,0
100.3117,71.1508,8.1385,65611979407453.20,110.1476,0
100.1368,71.5333,8.4172,66167887251197.60,101.2991,0
99.94141,72.2984,8.3331,66941396351946.40,96.2886,0
99.65924,73.8285,8.4665,67872620704596.90,97.0781,0
99.10757,74.2110,8.3409,68673967799289.90,86.3343,0
98.48635,75.3586,8.4412,69268994856129.10,85.6482,0
98.04786,75.7412,8.8903,70008747903741.40,86.4119,0
97.92259,76.1237,8.7434,70674876892024.30,97.1091,0
97.83474,75.3586,8.5364,72609844697117.90,98.5668,0
97.8782,75.7412,8.2563,72145138279190.20,100.1023,0
98.01155,76.1237,8.2636,72829171564744.80,102.2971,0
98.07241,76.8887,8.6200,73297697795825.00,106.1873,0
98.13574,78.4189,8.6500,74262962652191.30,103.3257,0
98.04813,78.8014,8.3800,75089834866729.90,94.5348,0
98.08742,79.5665,8.1500,77317989244423.10,82.4005,0
98.39964,81.0966,8.2500,77180016850137.60,87.9191,0
98.58377,81.8617,8.2400,78184191116136.80,94.1183,0
98.59412,82.2442,8.2800,78577650724944.90,94.7045,0
98.35381,83.0092,8.2100,79199579187243.10,89.5965,0
97.96124,83.3918,8.1800,80057681310758.10,86.7209,0
97.78591,83.7743,8.0500,80692471349283.60,88.2629,0
97.77638,84.5394,7.9100,81550714393754.00,94.7296,0
97.67909,85.3044,7.8700,82077831017230.50,95.3095,0
97.87202,85.6870,7.9500,83638066875810.90,93.1990,0
98.21847,86.4520,7.7300,83834345428117.80,92.0677,0
98.39467,87.2171,7.4400,85740421581726.20,94.7670,0
98.33863,88.3647,7.3900,87189479554005.50,95.7695,0
98.30531,89.8948,8.1700,87109056062352.70,104.4265,0
98.45995,90.6599,8.6000,87724039767123.40,106.4355,0
98.73781,91.0424,8.5400,89022258954077.60,106.3952,0
99.18126,92.1900,8.5500,89686412562428.40,100.5570,0
99.69077,92.9551,8.7500,91696472460874.20,93.8510,0
100.0731,91.4249,8.8400,92452322070231.10,97.8905,0
100.3995,90.6599,8.8100,93360217033695.80,94.9630,0
100.6375,91.0424,8.8600,94010011702282.00,100.7050,0
100.7733,91.4249,8.8400,94489592247323.60,100.5681,0
100.7755,92.5725,8.8900,95769780666375.10,102.1750,0
100.7493,93.3376,8.6700,96409446040677.30,101.9964,0
100.6879,94.1026,8.7200,97138891979564.10,105.2348,0
100.5568,96.3978,8.5100,98194147972179.60,102.9483,0
100.3696,96.7804,8.5700,99215713432845.60,96.3171,0
100.2613,96.7804,8.5200,99985428550857.80,93.2718,0
100.2563,96.7804,8.2800,101326997682881.00,84.4061,0
100.2317,96.7804,8.1000,102355118181743.00,75.7075,0
100.2407,96.7804,7.9000,102963867396926.00,59.1396,0
100.3492,97.1629,7.7200,103853618461412.00,47.5573,0
100.4824,96.7804,7.7700,104528742491043.00,50.8570,0
100.6918,97.1629,7.8000,105734071521936.00,47.7823,0
100.8197,97.9280,7.8900,106250628087957.00,54.3786,0
100.9265,98.6930,7.6400,107380527975896.00,59.3886,0
101.0029,99.8406,7.8700,108994605835558.00,59.8286,0
101.0376,100.6057,7.8400,109203569098713.00,51.1987,0
101.0555,100.9882,7.7900,110379628506298.00,42.9129,0
101.0261,101.7533,7.5300,111006871832826.00,45.5100,0
100.9898,102.9009,7.6900,111677250304040.00,46.2686,0
100.9858,103.2834,7.8500,112794822151551.00,42.5852,0
100.9011,102.9009,7.8300,113963267978682.00,37.3961,0
100.7487,102.9009,7.6387,114945544378944.00,31.7843,0
100.521,102.1358,7.6100,116151283222961.00,30.3776,0
100.4146,102.5183,7.4200,116338193745385.00,37.9017,0
100.465,103.6659,7.4400,118599380484073.00,41.0319,0
100.5524,105.1960,7.4800,118288596427388.00,46.8418,0
100.6395,105.9611,7.5100,118609578590814.00,48.7918,0
100.6271,107.1087,7.2700,120343621069027.00,44.8962,0
100.7001,106.3436,7.1300,121644562721401.00,44.7517,0
100.9359,105.9611,6.8100,123094748723676.00,45.2000,0
101.2016,106.3436,6.8300,123909824803203.00,49.8095,0
101.3379,105.9611,6.2800,124110500933170.00,45.4709,0
101.3853,105.1960,6.6300,121129826856682.00,52.0527,0
101.4473,104.8135,6.8700,122132905022139.00,52.5618,0
101.5134,104.8135,7.1200,123374776766055.00,53.4500,0
101.5701,105.1960,7.0000,128478385225591.00,49.3630,0
101.5496,105.9611,7.2000,125355172335953.00,51.1740,0
101.4463,106.3436,6.6600,127247001921317.00,48.5596,0
101.468,107.1087,6.5110,127265828113950.00,45.1855,0
101.56,109.0214,6.4650,128536959489702.00,46.5819,0
101.6012,109.0214,6.5250,128341865361923.00,48.0478,0
101.6004,109.0214,6.6630,130073715963512.00,49.7357,0
101.6414,109.7864,6.8620,132197619994676.00,51.5732,0
101.6086,110.1690,7.0580,132768288399563.00,56.7382,0
101.5799,109.4039,7.3260,133545395478724.00,57.9205,0
101.5417,110.1690,7.4300,134790110263904.00,63.5848,0
101.4748,109.7864,7.7260,135571031419267.00,62.2270,0
101.4801,109.7864,7.3980,136812345921712.00,62.8305,0
101.4546,110.1690,7.7670,138004026303537.00,66.3138,0
101.3896,110.5515,7.8260,139364909734942.00,69.8987,0
101.3968,111.3165,7.9030,139899098837159.00,67.8762,0
101.3967,115.1419,7.7720,141059821187922.00,71.0745,0
101.2855,115.1419,7.9510,142482546389543.00,67.9274,0
101.1371,115.1419,8.0240,143072280452801.00,70.1905,0
100.9245,115.5244,7.8530,144237235873487.00,70.7530,0
100.6532,115.5244,7.6070,145700584878848.00,56.1882,0
100.3138,115.1419,7.3700,146430436859890.00,48.9190,0
